round,global_acc,per_client_gen_acc,lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
41,0.687,0.687,0.01,0.7724367169521862,0.6871336007405122,0.7068544600938967,0.517799352750809,0.6779874213836478,0.6392215568862275,0.8283687943262411,0.6261566933991364,0.7482151356496907,0.6830357142857143,0.7331121833534379,0.7821229050279329,0.7752409944190766,0.6377952755905512,0.4911061700944969,0.6152051331907447,0.7492704826038159,0.8670056718169372,0.7292817679558011,0.6421880854252529
42,0.6895,0.6895,0.01,0.7586295065200716,0.6769515581610615,0.7188732394366197,0.5792880258899676,0.6698113207547169,0.6272455089820359,0.8312056737588652,0.6397285626156693,0.7453593526891956,0.6964285714285714,0.7261761158021713,0.7932960893854749,0.7889396245560629,0.6141732283464567,0.5247359644246804,0.593816838421155,0.7510662177328844,0.8697437903383533,0.7237569060773481,0.6420007493443237
43,0.6911,0.6911,0.01,0.7770391204295577,0.6905276149336624,0.7029107981220657,0.5631067961165048,0.6729559748427673,0.6392215568862275,0.8326241134751773,0.6502159161011721,0.732032365540219,0.6741071428571429,0.7291917973462002,0.7849162011173184,0.7975646879756468,0.5984251968503937,0.5227904391328516,0.5975111802449932,0.7622895622895622,0.8742421279092509,0.7237569060773481,0.6039715249156987
44,0.6902,0.6902,0.01,0.7867553055484531,0.7136686207960506,0.7181220657276995,0.5242718446601942,0.6685534591194968,0.6661676646706587,0.849645390070922,0.6261566933991364,0.7306044740599714,0.6696428571428571,0.7186369119420989,0.8072625698324022,0.7929984779299848,0.6299212598425197,0.48360200111172874,0.6315380128329768,0.7501683501683502,0.8724819088597692,0.7182320441988951,0.6144623454477333
45,0.6956,0.6956,0.01,0.7726924060342624,0.693304535637149,0.7066666666666667,0.5889967637540453,0.6949685534591195,0.6661676646706587,0.8283687943262411,0.6674892041949414,0.7391718229414564,0.7008928571428571,0.7430639324487334,0.7793296089385475,0.7858954845256215,0.6535433070866141,0.5400222345747637,0.5971223021582733,0.7519640852974186,0.8730686485429298,0.7458563535911602,0.6436867740726864
46,0.6956,0.6956,0.01,0.7882894400409103,0.7062634989200864,0.7149295774647887,0.5631067961165048,0.7,0.6811377245508982,0.8375886524822695,0.64898210980876,0.7505949547834364,0.6964285714285714,0.7548250904704463,0.7877094972067039,0.7950279046169457,0.6456692913385826,0.50917176209005,0.606260937196189,0.7548821548821549,0.8654410326618424,0.7403314917127072,0.63132259273136
47,0.6942,0.6942,0.01,0.7642546663257479,0.6809626658438753,0.7290140845070423,0.5857605177993528,0.7025157232704402,0.6676646706586826,0.8439716312056738,0.6576187538556446,0.7505949547834364,0.7232142857142857,0.7626658624849216,0.7988826815642458,0.7995941146626078,0.5905511811023622,0.5428015564202334,0.5879836671203578,0.7485970819304153,0.868765890866419,0.712707182320442,0.6444361183964031
48,0.6904,0.6904,0.01,0.7911020199437484,0.7189139154581919,0.711924882629108,0.517799352750809,0.6666666666666666,0.6781437125748503,0.8382978723404255,0.6187538556446638,0.7472632079961923,0.6875,0.732509047044632,0.7932960893854749,0.7919837645865043,0.6377952755905512,0.4652584769316287,0.6408710869142524,0.7717171717171717,0.8771758263250538,0.7292817679558011,0.6369426751592356
49,0.6974,0.6974,0.01,0.7706468933776528,0.7028694847269361,0.7134272300469483,0.5663430420711975,0.7069182389937106,0.6721556886227545,0.8432624113475178,0.6520666255397902,0.7615421227986673,0.7232142857142857,0.7536188178528347,0.7932960893854749,0.7940131912734653,0.6141732283464567,0.528627015008338,0.5982889364184328,0.7492704826038159,0.8744377078036378,0.7292817679558011,0.6772199325590109
50,0.693,0.693,0.01,0.7737151623625671,0.6926874421474853,0.7098591549295775,0.5760517799352751,0.6836477987421383,0.6646706586826348,0.8453900709219858,0.6600863664404688,0.7572584483579248,0.7232142857142857,0.7463811821471653,0.8072625698324022,0.7955352612886859,0.6299212598425197,0.5308504724847137,0.6101497180633871,0.7517396184062851,0.8806962644240172,0.7182320441988951,0.6449981266391908
