round,global_acc,per_client_gen_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
66,0.6974,0.6974,0.009944853372871876,0.7752492968550243,0.693304535637149,0.6965258215962441,0.5857605177993528,0.6823899371069182,0.657185628742515,0.8333333333333334,0.6835286859962986,0.7572584483579248,0.6964285714285714,0.7487937273823885,0.8072625698324022,0.8214104515474379,0.6220472440944882,0.5611450806003335,0.6231771339685008,0.7840628507295174,0.889106199882652,0.7292817679558011,0.6659797677032596
67,0.699,0.699,0.009947690181434155,0.8005625159805676,0.7257019438444925,0.7151173708920188,0.5663430420711975,0.6842767295597484,0.688622754491018,0.8382978723404255,0.6637877853177051,0.7586863398381724,0.6741071428571429,0.7484921592279855,0.8212290502793296,0.8006088280060882,0.6771653543307087,0.5305725403001668,0.6216216216216216,0.7564534231200898,0.8896929395658126,0.7458563535911602,0.6588609966279505
68,0.6993,0.6993,0.009956837631762028,0.7898235745333674,0.7155199012650416,0.684319248826291,0.5533980582524272,0.7018867924528301,0.6856287425149701,0.8347517730496454,0.6810610734114744,0.7667777248929082,0.6919642857142857,0.7566344993968637,0.8072625698324022,0.8122780314561137,0.6141732283464567,0.5453029460811561,0.5977056192883531,0.7764309764309765,0.8926266379816155,0.7790055248618785,0.6987635818658674
69,0.6991,0.6991,0.009970351122319698,0.793147532600358,0.7263190373341561,0.7059154929577465,0.5566343042071198,0.6710691823899371,0.687125748502994,0.8475177304964538,0.6711906230721777,0.7682056163731557,0.6517857142857143,0.7303980699638118,0.8184357541899442,0.8214104515474379,0.6850393700787402,0.5522512506948305,0.6397044526540929,0.7701459034792368,0.886368081361236,0.7292817679558011,0.6618583739228175
70,0.7009,0.7009,0.009979024529457092,0.7944259780107389,0.7198395556926874,0.7064788732394366,0.5792880258899676,0.6867924528301886,0.6811377245508982,0.8425531914893617,0.6847624922887107,0.7624940504521657,0.7098214285714286,0.7551266586248492,0.8184357541899442,0.817351598173516,0.6771653543307087,0.547526403557532,0.6175384017110636,0.7643097643097643,0.8910619988265206,0.7458563535911602,0.6586736605470214
71,0.7026,0.7026,0.009968829341232777,0.7934032216824342,0.7287874112928109,0.7299530516431925,0.5566343042071198,0.6823899371069182,0.6901197604790419,0.8411347517730496,0.6545342381246144,0.7639219419324131,0.6696428571428571,0.7364294330518697,0.8072625698324022,0.8097412480974124,0.6614173228346457,0.5172317954419122,0.6572039665564845,0.7717171717171717,0.8894973596714257,0.7458563535911602,0.6599850131135256
72,0.6992,0.6992,0.009959676302969456,0.7987726924060342,0.7241592101203332,0.7002816901408451,0.5436893203883495,0.6842767295597484,0.6811377245508982,0.8468085106382979,0.6533004318322023,0.7729652546406474,0.6875,0.7421592279855247,0.8100558659217877,0.8117706747843734,0.6535433070866141,0.5158421345191774,0.6476764534318491,0.7672278338945006,0.8965382358693527,0.7513812154696132,0.6734732109404271
73,0.6977,0.6977,0.009935012087225914,0.8003068268984914,0.7300215982721382,0.7138028169014085,0.5307443365695793,0.6987421383647798,0.6976047904191617,0.8404255319148937,0.6458975940777298,0.7672536887196573,0.6830357142857143,0.7575392038600723,0.8016759776536313,0.8112633181126332,0.6535433070866141,0.5097276264591439,0.643787672564651,0.7755331088664422,0.8943868570310972,0.7569060773480663,0.6729112026976396
74,0.6992,0.6992,0.009960224851965904,0.802352339555101,0.7358839864239433,0.6852582159624413,0.5728155339805825,0.6924528301886792,0.6946107784431138,0.8468085106382979,0.6674892041949414,0.777724892908139,0.6830357142857143,0.7542219541616405,0.8016759776536313,0.808726534753932,0.6535433070866141,0.5458588104502501,0.6274547929224188,0.7647586980920315,0.8963426559749658,0.7348066298342542,0.6826526789059573
75,0.6993,0.6993,0.009950725361704826,0.7926361544362056,0.7257019438444925,0.7246948356807512,0.5242718446601942,0.6792452830188679,0.6901197604790419,0.8468085106382979,0.6415792720542874,0.772013326987149,0.6651785714285714,0.7490952955367913,0.8128491620111732,0.8188736681887366,0.6692913385826772,0.519177320733741,0.6410655259576122,0.7820426487093154,0.8926266379816155,0.7569060773480663,0.6768452603971525
