round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_layer_norm,ratio_norm,scaled_delta_norm,warmup,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
39,0.6458,0.6458,0.6674293875694275,0.2364480197429657,0.5190474987030029,0.0040143271458296095,0.007719154799977561,0.006062420712123681,804.7005391106038,0.003869551806165028,0,0.7036563538736896,0.6238815180499846,0.6715492957746478,0.5048543689320388,0.6333333333333333,0.5883233532934131,0.7843971631205674,0.5848241826033312,0.7139457401237506,0.6696428571428571,0.7029553679131484,0.7932960893854749,0.7666159309994927,0.5826771653543307,0.44858254585881047,0.5778728368656426,0.7349046015712682,0.8486211617445727,0.7292817679558011,0.6219557886849008
40,0.6444,0.6444,0.6996469497680664,0.23390217125415802,0.5211634039878845,0.004193018664456829,0.008030089110867902,0.006062420712123681,900.7532568830106,0.0039917940537929,0,0.7064689337765278,0.617093489663684,0.6820657276995306,0.47896440129449835,0.6415094339622641,0.5808383233532934,0.7893617021276595,0.5619987661937076,0.7287006187529748,0.65625,0.7041616405307599,0.7960893854748603,0.7656012176560122,0.5590551181102362,0.41773207337409674,0.5984833754617928,0.7274971941638608,0.8533150792098573,0.7237569060773481,0.6247658298988386
41,0.647,0.647,0.6521099209785461,0.2294899821281433,0.522635281085968,0.003955937009634292,0.007554756435490879,0.006062420712123681,778.5368850807793,0.0036896118156835066,0,0.7156737407312708,0.6223387843258253,0.6886384976525821,0.4692556634304207,0.6427672955974842,0.5868263473053892,0.8021276595744681,0.5521283158544109,0.7315564017134698,0.6339285714285714,0.7092882991556092,0.8016759776536313,0.7681380010147133,0.5669291338582677,0.4010561423012785,0.6237604510985806,0.7209876543209877,0.8531194993154704,0.7237569060773481,0.6213937804421131
42,0.647,0.647,0.6992217898368835,0.22764351963996887,0.5246954560279846,0.004234584954359487,0.00805520554876941,0.006062420712123681,899.7101548988444,0.004103690982994178,0,0.7164408079774993,0.6251157050293119,0.6850704225352112,0.45307443365695793,0.6452830188679245,0.592814371257485,0.8078014184397163,0.5533621221468229,0.7277486910994765,0.6517857142857143,0.7174306393244874,0.8128491620111732,0.7671232876712328,0.5748031496062992,0.40161200667037245,0.6323157690064165,0.7252525252525253,0.8482300019557989,0.7237569060773481,0.6140876732858749
43,0.6488,0.6488,0.6714262962341309,0.22570712864398956,0.5263652801513672,0.004135176578750767,0.007841199893864583,0.006062420712123681,796.9371276001125,0.003909121695929844,0,0.7179749424699565,0.6337550138846035,0.6867605633802817,0.44336569579288027,0.6534591194968553,0.6017964071856288,0.8148936170212766,0.5626156693399136,0.7215611613517373,0.6517857142857143,0.7243667068757539,0.8100558659217877,0.771689497716895,0.6141732283464567,0.4188438021122846,0.6295936223993778,0.7353535353535353,0.8419714453354196,0.7016574585635359,0.6120269763956538
44,0.6538,0.6538,0.7007723450660706,0.2242567390203476,0.528394341468811,0.00437082522550121,0.008256274922346736,0.006062420712123681,933.5541245506876,0.004240886598858039,0,0.7212989005369471,0.6349892008639308,0.6828169014084507,0.47572815533980584,0.6566037735849056,0.6122754491017964,0.8120567375886525,0.5706354102405923,0.7144217039504998,0.6473214285714286,0.7316043425814234,0.8016759776536313,0.7823439878234398,0.6220472440944882,0.44080044469149526,0.6200661092747424,0.7441077441077442,0.837277527870135,0.7016574585635359,0.6107156238291495
45,0.6525,0.6525,0.6403710842132568,0.2193409502506256,0.5296312570571899,0.0040865848074178365,0.007701364654018856,0.006062420712123681,746.4628862278828,0.003815258136517671,0,0.722577345947328,0.6396174020364085,0.6758685446009389,0.5016181229773463,0.6647798742138364,0.6182634730538922,0.8134751773049645,0.5860579888957433,0.7206092336982389,0.65625,0.7379372738238842,0.7960893854748603,0.7899543378995434,0.6062992125984252,0.4535853251806559,0.6039276686758701,0.7526374859708193,0.838646587130843,0.6961325966850829,0.6255151742225553
46,0.6535,0.6535,0.7159823179244995,0.2182544618844986,0.531818151473999,0.004343020870519101,0.008151037757449665,0.006062420712123681,903.1213050890783,0.00419404944023593,0,0.7228330350294042,0.6420857759950632,0.6773708920187793,0.4919093851132686,0.6635220125786163,0.6182634730538922,0.8127659574468085,0.5940777297964219,0.7244169443122322,0.6473214285714286,0.7340168878166465,0.7988826815642458,0.791476407914764,0.6377952755905512,0.4510839355197332,0.5992611316352323,0.7535353535353535,0.8449051437512224,0.6795580110497238,0.6358186586736605
47,0.6542,0.6542,0.6465317606925964,0.21373936533927917,0.5330874919891357,0.0040486272181594705,0.00758045690806372,0.006062420712123681,723.5881676334058,0.003667481807793749,0,0.7284581948350806,0.644554149953718,0.6788732394366197,0.4692556634304207,0.6559748427672956,0.6077844311377245,0.8148936170212766,0.5891425046267736,0.7229890528319848,0.6339285714285714,0.7252714113389626,0.8100558659217877,0.7889396245560629,0.6692913385826772,0.4463590883824347,0.6039276686758701,0.7472502805836139,0.8525327596323098,0.6740331491712708,0.646309479205695
48,0.6535,0.6535,0.694746196269989,0.21219788491725922,0.5349459052085876,0.004149702702892186,0.00774276407854472,0.006062420712123681,846.1287856495446,0.00390876959004402,0,0.7351061109690616,0.6482567108917001,0.6803755868544601,0.45307443365695793,0.6459119496855346,0.6017964071856288,0.8219858156028369,0.5848241826033312,0.7272727272727273,0.6473214285714286,0.715319662243667,0.8212290502793296,0.7894469812278031,0.6535433070866141,0.4357976653696498,0.6025665953723508,0.7434343434343434,0.8540973987874046,0.6740331491712708,0.6566129636568003
49,0.6562,0.6562,0.6778510808944702,0.21000857651233673,0.5365633964538574,0.00402773013291775,0.007492567685016248,0.006062420712123681,836.2339494866523,0.003785102064287646,0,0.7407312707747379,0.6584387534711509,0.6824413145539906,0.4627831715210356,0.6371069182389937,0.6092814371257484,0.825531914893617,0.5879086983343615,0.7391718229414564,0.6428571428571429,0.7095898673100121,0.8156424581005587,0.7889396245560629,0.6299212598425197,0.43468593663146193,0.6047054248493098,0.7328843995510662,0.8597692157246235,0.6629834254143646,0.6611090295991008
50,0.6602,0.6602,0.6851621270179749,0.20789934694766998,0.5382525324821472,0.004102830457230319,0.007608365673027505,0.006062420712123681,836.6241060269215,0.003929724203494649,0,0.7399642035285093,0.6535020055538414,0.6848826291079813,0.4692556634304207,0.6358490566037736,0.6032934131736527,0.8226950354609929,0.5829734731647132,0.7405997144217039,0.6383928571428571,0.7080820265379976,0.8184357541899442,0.7884322678843226,0.6377952755905512,0.4366314619232907,0.6080108885864282,0.7378226711560045,0.8660277723450029,0.6740331491712708,0.6556762832521543
51,0.6625,0.6625,0.7187114953994751,0.20774373412132263,0.5403555035591125,0.004624269628669028,0.008542020166539393,0.006062420712123681,904.7823369067291,0.004500042411336418,0,0.7409869598568141,0.6559703795124961,0.6901408450704225,0.47572815533980584,0.6471698113207547,0.6047904191616766,0.8170212765957446,0.581122763726095,0.7315564017134698,0.6473214285714286,0.7195416164053076,0.8240223463687151,0.7894469812278031,0.6141732283464567,0.43746525847693163,0.6138440598872253,0.7429854096520763,0.8656366125562293,0.6795580110497238,0.6526789059572874
