round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
33,0.6375,0.6375,0.6858018636703491,0.26503655314445496,0.5133402943611145,0.7054461774482229,0.622955877815489,0.6809389671361502,0.5372168284789643,0.6245283018867924,0.6392215568862275,0.7595744680851064,0.5891425046267736,0.7006187529747739,0.6116071428571429,0.6899879372738239,0.7374301675977654,0.7549467275494672,0.5275590551181102,0.4466370205669817,0.5559012249659732,0.7364758698092031,0.8212399765304127,0.6850828729281768,0.5927313600599475
34,0.6389,0.6389,0.6961461901664734,0.2620868682861328,0.515489399433136,0.7110713372538993,0.6294353594569577,0.6769953051643193,0.5598705501618123,0.620125786163522,0.6422155688622755,0.7567375886524823,0.5983960518198643,0.6963350785340314,0.6160714285714286,0.6896863691194209,0.7374301675977654,0.7595129375951294,0.5669291338582677,0.4519177320733741,0.5615399572234104,0.7409652076318743,0.8255427342069235,0.6961325966850829,0.5940427126264518
35,0.6407,0.6407,0.68992680311203,0.2583767771720886,0.5175248384475708,0.7126054717463565,0.634680654119099,0.6694835680751173,0.5533980582524272,0.6289308176100629,0.6317365269461078,0.7595744680851064,0.6051819864281308,0.7072822465492623,0.6339285714285714,0.6978287092882992,0.7486033519553073,0.7625570776255708,0.5748031496062992,0.46748193440800445,0.5516235660120552,0.735578002244669,0.8390377469196166,0.6906077348066298,0.6032221805919821
36,0.6431,0.6431,0.6917483806610107,0.25503984093666077,0.5195563435554504,0.7149066734850422,0.626966985498303,0.6595305164319248,0.5728155339805825,0.6352201257861635,0.6302395209580839,0.7730496453900709,0.6119679210363973,0.7263207996192289,0.6383928571428571,0.7092882991556092,0.7625698324022346,0.7656012176560122,0.5511811023622047,0.481100611450806,0.5403461014971807,0.7252525252525253,0.8474476823782515,0.6906077348066298,0.6084675908579993
37,0.6446,0.6446,0.6960307955741882,0.2519678771495819,0.5216167569160461,0.7151623625671184,0.621104597346498,0.6617840375586854,0.56957928802589,0.6452830188679245,0.624251497005988,0.7872340425531915,0.6125848241826033,0.7306044740599714,0.6339285714285714,0.712605548854041,0.7569832402234636,0.7737189244038559,0.5433070866141733,0.47971095052807117,0.5403461014971807,0.7117845117845117,0.8562487776256601,0.6519337016574586,0.6084675908579993
38,0.6438,0.6438,0.6981322169303894,0.24955683946609497,0.5236765146255493,0.7166964970595756,0.6285097192224622,0.6647887323943662,0.5533980582524272,0.6477987421383647,0.6227544910179641,0.8,0.6095003084515731,0.732032365540219,0.6428571428571429,0.7192400482509047,0.7597765363128491,0.776255707762557,0.5433070866141733,0.47387437465258475,0.5442348823643788,0.7102132435465769,0.8603559554077841,0.6629834254143646,0.6050955414012739
39,0.6421,0.6421,0.6955721378326416,0.24663996696472168,0.5256737470626831,0.7184863206341089,0.6343721073742672,0.6657276995305165,0.5533980582524272,0.6477987421383647,0.6302395209580839,0.7971631205673759,0.6107341147439852,0.7329842931937173,0.6383928571428571,0.7237635705669482,0.7625698324022346,0.7671232876712328,0.5118110236220472,0.4672040022234575,0.5524013221854949,0.7115600448933782,0.8638763935067475,0.6629834254143646,0.6067815661296365
40,0.6411,0.6411,0.6946619153022766,0.24344950914382935,0.5276316404342651,0.7325492201482997,0.642394322739895,0.6713615023474179,0.5307443365695793,0.6559748427672956,0.6287425149700598,0.7978723404255319,0.5965453423812461,0.7258448357924798,0.6428571428571429,0.7207478890229192,0.7541899441340782,0.7691527143581938,0.5118110236220472,0.4519177320733741,0.5679564456542874,0.7214365881032547,0.8599647956190104,0.6574585635359116,0.6077182465342825
41,0.6439,0.6439,0.7037328481674194,0.24054844677448273,0.5296825170516968,0.7384300690360521,0.6516507250848503,0.6769953051643193,0.49514563106796117,0.6496855345911949,0.6392215568862275,0.799290780141844,0.5940777297964219,0.7272727272727273,0.625,0.7150180940892642,0.7541899441340782,0.7681380010147133,0.5433070866141733,0.43079488604780436,0.5942057165078748,0.7281705948372615,0.8576178368863681,0.6906077348066298,0.6129636568002997
42,0.6457,0.6457,0.7103458642959595,0.23843564093112946,0.5317930579185486,0.7440552288417285,0.6643011416229558,0.6850704225352112,0.4886731391585761,0.6421383647798742,0.6541916167664671,0.800709219858156,0.581122763726095,0.7196573060447407,0.5892857142857143,0.7132086851628469,0.7541899441340782,0.7681380010147133,0.5511811023622047,0.4091161756531406,0.6206494264048221,0.7380471380471381,0.8488167416389595,0.6906077348066298,0.6200824278756089
43,0.6486,0.6486,0.70303875207901,0.23430480062961578,0.5337775349617004,0.7435438506775761,0.6741746374575748,0.6871361502347418,0.4886731391585761,0.6371069182389937,0.6631736526946108,0.8078014184397163,0.5792720542874769,0.7134697762970015,0.5803571428571429,0.706875753920386,0.7513966480446927,0.7711821410451547,0.5748031496062992,0.4082823790994997,0.6379545012638538,0.7407407407407407,0.8449051437512224,0.7182320441988951,0.6238291494941925
44,0.6534,0.6534,0.713711142539978,0.2319137305021286,0.5358760356903076,0.7499360777294809,0.6846652267818575,0.6884507042253522,0.49514563106796117,0.6421383647798742,0.6661676646706587,0.8113475177304964,0.5848241826033312,0.7077582103760114,0.5803571428571429,0.7053679131483716,0.7597765363128491,0.7676306443429731,0.5826771653543307,0.4263479710950528,0.6391211355240132,0.7414141414141414,0.8437316643849012,0.7237569060773481,0.6225177969276883
45,0.6557,0.6557,0.7136996984481812,0.22865495085716248,0.5379452705383301,0.7537714139606239,0.6905276149336624,0.6914553990610328,0.511326860841424,0.6679245283018868,0.6766467065868264,0.8099290780141843,0.5928439235040098,0.7087101380295098,0.6205357142857143,0.7159227985524729,0.7569832402234636,0.7686453576864536,0.6062992125984252,0.44774874930516956,0.6323157690064165,0.7418630751964085,0.8478388421670252,0.7237569060773481,0.616335706257025
46,0.6559,0.6559,0.7064313888549805,0.2265225350856781,0.5398905277252197,0.7588851956021477,0.6821968528232027,0.6942723004694835,0.5372168284789643,0.6635220125786163,0.657185628742515,0.8092198581560284,0.6033312769895126,0.7120418848167539,0.625,0.7237635705669482,0.7569832402234636,0.7721968543886352,0.5826771653543307,0.46831573096164536,0.6142329379739452,0.7434343434343434,0.8509681204772149,0.7292817679558011,0.6153990258523792
47,0.6552,0.6552,0.7162100076675415,0.22466513514518738,0.5419377684593201,0.759140884684224,0.6747917309472385,0.6942723004694835,0.5598705501618123,0.6773584905660377,0.6526946107784432,0.8014184397163121,0.6125848241826033,0.7139457401237506,0.6651785714285714,0.7334137515078407,0.7597765363128491,0.7757483510908169,0.5669291338582677,0.4866592551417454,0.5928446432043555,0.7393939393939394,0.8570310972032075,0.7292817679558011,0.619145747470963
48,0.6549,0.6549,0.7070973515510559,0.22189825773239136,0.5438376665115356,0.7522372794681668,0.6658438753471151,0.6944600938967136,0.5436893203883495,0.6918238993710691,0.6541916167664671,0.7978723404255319,0.6236890808143122,0.7191813422179915,0.6830357142857143,0.7448733413751508,0.7597765363128491,0.7808219178082192,0.5511811023622047,0.49499722067815455,0.5753451293019638,0.7382716049382716,0.8607471151965578,0.7237569060773481,0.6350693143499438
