round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_norm,ratio_norm,scaled_delta_norm,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
32,0.6197,0.6197,0.6273415088653564,0.30094611644744873,1.0537294149398804,0.028540626168251038,0.027059666454716122,1.1225056648254395,1611.16748046875,0.028009722009301186,0.6563538736895934,0.5609379821042888,0.6476995305164319,0.4692556634304207,0.620125786163522,0.5164670658682635,0.7425531914893617,0.6039481801357187,0.6834840552118039,0.6428571428571429,0.6978287092882992,0.7541899441340782,0.7179096905124303,0.4881889763779528,0.48610339077265147,0.5172078553373517,0.6922558922558922,0.814003520438099,0.6685082872928176,0.5333458224053953
33,0.6194,0.6194,0.655214250087738,0.29649993777275085,1.0504928827285767,0.028040893375873566,0.02666769679230611,1.1221357583999634,1694.9495849609375,0.02752545103430748,0.6389670161084122,0.5310089478556002,0.6522065727699531,0.5016181229773463,0.6289308176100629,0.4940119760479042,0.7531914893617021,0.6113510178901912,0.7015706806282722,0.6517857142857143,0.7044632086851629,0.7821229050279329,0.7219685438863521,0.4566929133858268,0.49305169538632576,0.5109858059498348,0.6830527497194164,0.8190885976921572,0.6574585635359116,0.5616335706257025
34,0.621,0.621,0.6461683511734009,0.29139432311058044,1.0472224950790405,0.027609458193182945,0.02633931090278794,1.1217604875564575,1584.8154296875,0.027131833136081696,0.6284837637432882,0.5202098117864856,0.6527699530516432,0.5080906148867314,0.6314465408805031,0.4880239520958084,0.7574468085106383,0.6125848241826033,0.7044264635887673,0.65625,0.7062726176115802,0.770949720670391,0.7163876204972095,0.4094488188976378,0.5008337965536409,0.4985417071748007,0.6861952861952862,0.8288675924115001,0.6519337016574586,0.5895466466841514
35,0.621,0.621,0.6606627702713013,0.28757160902023315,1.0440657138824463,0.0270396638661623,0.025873649385845077,1.121394157409668,1651.2718505859375,0.026424547657370567,0.6274610074149833,0.5128046899105214,0.6563380281690141,0.5210355987055016,0.6320754716981132,0.47904191616766467,0.7489361702127659,0.6193707587908698,0.7082341742027606,0.65625,0.6999396863691194,0.7597765363128491,0.7113140537798072,0.41732283464566927,0.5069483046136742,0.49095858448376434,0.6956228956228956,0.833170350088011,0.6519337016574586,0.6116523042337955
36,0.623,0.623,0.6549558043479919,0.28358379006385803,1.040894865989685,0.026563610881567,0.02549548111683467,1.12102472782135,1544.24169921875,0.02606576681137085,0.6351316798772693,0.5291576673866091,0.6569014084507042,0.5016181229773463,0.6144654088050314,0.4940119760479042,0.7425531914893617,0.6169031462060457,0.7106139933365064,0.6428571428571429,0.6884800965018094,0.7458100558659218,0.7189244038559107,0.41732283464566927,0.5086158977209561,0.4905697063970445,0.7025813692480359,0.837277527870135,0.6464088397790055,0.6245784938179093
37,0.6271,0.6271,0.6526702642440796,0.2793283760547638,1.0377317667007446,0.026150334626436234,0.025175252615500365,1.1206541061401367,1517.213623046875,0.02569591999053955,0.655842495525441,0.5587781548904659,0.6585915492957747,0.4919093851132686,0.6075471698113207,0.5239520958083832,0.7397163120567376,0.6113510178901912,0.7029985721085198,0.6026785714285714,0.6803377563329313,0.7486033519553073,0.7204464738711314,0.48031496062992124,0.4961089494163424,0.502041609955279,0.7180695847362514,0.8421670252298064,0.6464088397790055,0.6288872236792806
38,0.6294,0.6294,0.6578729748725891,0.27618247270584106,1.0346238613128662,0.025628671050071716,0.024747084349313955,1.1202868223190308,1473.48046875,0.025054512545466423,0.6796215801585272,0.5908670163529774,0.6621596244131456,0.47572815533980584,0.6018867924528302,0.5374251497005988,0.7411347517730497,0.6088834053053671,0.6972870061875297,0.6026785714285714,0.6758142340168878,0.7569832402234636,0.7270421106037545,0.5275590551181102,0.48082267926625905,0.5179856115107914,0.7270482603815938,0.8439272442792881,0.6685082872928176,0.6219557886849008
39,0.6317,0.6317,0.6280286312103271,0.27021166682243347,1.0313516855239868,0.02520575001835823,0.02441585592565255,1.1199026107788086,1326.2724609375,0.024760087952017784,0.7018665302991562,0.6167849429188522,0.6679812206572769,0.4368932038834951,0.60062893081761,0.561377245508982,0.750354609929078,0.5835903763109191,0.6944312232270348,0.5892857142857143,0.6752110977080821,0.776536312849162,0.732623033992897,0.5511811023622047,0.44774874930516956,0.5401516624538207,0.731986531986532,0.8427537649129669,0.6961325966850829,0.6075309104533533
40,0.6332,0.6332,0.666451096534729,0.2672388553619385,1.0283437967300415,0.024781817570328712,0.02407535523996368,1.1195409297943115,1495.7294921875,0.02430795505642891,0.713372538992585,0.6306695464362851,0.6721126760563381,0.44983818770226536,0.6,0.562874251497006,0.7553191489361702,0.5700185070943862,0.6887196573060448,0.5803571428571429,0.6788299155609168,0.7849162011173184,0.7432775240994419,0.5669291338582677,0.4357976653696498,0.552206883142135,0.7373737373737373,0.8409935458634852,0.7071823204419889,0.590108654926939
41,0.6368,0.6368,0.6636742353439331,0.26444852352142334,1.0253392457962036,0.02423970028758049,0.02361762973292135,1.1191778182983398,1410.608642578125,0.023646999150514603,0.7151623625671184,0.6356062943535946,0.6815023474178403,0.4627831715210356,0.6144654088050314,0.5793413173652695,0.7631205673758865,0.5829734731647132,0.6882436934792956,0.5892857142857143,0.6917973462002412,0.7932960893854749,0.745814307458143,0.5748031496062992,0.45052807115063925,0.5621232743534902,0.7344556677890012,0.8378642675532956,0.6961325966850829,0.5798051704758337
